wo,ata,ac,pos,pn_off,sn_off,pn_on,sn_on,label,cert
190213002,25-00,B737-8,AFT,62197-301-001,15-06-7706,72184025,3057,3788951,1267792
55293839,33-21,M73-82,21ABC,9651-35-0002,61304,9651-35-0002,72757,3898409,64980
190600527,26-00,B737-8,FWD,473597-5,SJB1002,473597-5,SJA4389,4204860,13935693
190443974,33-00,M73-82,7 ABC,9651-35-0002,40343,9651-35-0002,43001,4110255,ARC169579
190188169,25-00,B737-8,AFTGALLY,8201-11-0000-01,18-05-0280,8201-11-0000-01,15-03-35923,3807391,KAV0225058
42213091,38-11,M73-82,LAV,SC4L500301-5,172972827-003,SC4L500301-4,1604515,4058232,E-6074532
55693511,33-00,B737-8,30ABC,9651-35-0005,52673,9651-35-0005,32639,4053609,ARC165410
55371585,33-00,M73-82,CABIN,9651-35-0002,57459,9651-35-0002,40011,3990339,158673
55371585,33-00,M73-82,CABIN,9651-35-0002,57485,9651-35-0002,54274,3975281,157241
55371585,33-00,M73-82,CABIN,9651-35-0003,16588,9651-35-0003,6725,3990347,158986
190724207,26-16,B737-8,AFT,473597-5,SJA6358,473597-5,67697,3954387,12824322
191423455,33-00,B737-8,15 LH,9651-35-0005,50834,9651-35-0005,58912,4203202,20261728
191269849,25-32,M73-82,FWD,62197-301-001,18-07-0605,62197-301-001,16-06-0225,4053457,PAV12870
55118988,25-37,B737-8,#3,8201-11-0000-01,19-06-0275,8201-11-0000-01,16-08-37953,3493858,986108
55203405,33-42,B737-8,RH,45-0351-4,1611,45-0351-6,11696,4008276,PAV12247
190451367,25-00,M73-82,G1,62197-301-001,22-11-0532,62197-301-001,17-01-0340,3944150,PAV11274
55533015,25-31,B737-8,FWDGALLY,62197-301-001,21-03-0008,62197-301-001,23-09-0333,3507040,S23/4224H-1
55677937,25-31,B737-8,AFTGALLY,62197-301-001,17-06-0377,62197-301-001,23-08-0176,3693041,1186293
190254537,12-00,B737-8,FL DK,5145-1-82,17228,5145-1-82,13901,3964630,PAV11632
191413532,25-31,B737-8,AFT GALLEY,72184025,N09050474044526,72184025,N10030468044666,4048635,WAV1100
190831346,33-42,B737-8,RH,45-0351-4,5987,45-0351-4,6382,4096853,PAV13515
190128727,38-32,B737-8,FWD,14330-230,ZSK363,14330-230,ZSK653,3889988,1129620
190670254,36-11,B737-8,#2,107484-7,19173,107484-7,16710,3804559,352242535
190503229,25-00,M73-82,AFT GALLEY,62197-301-001,14-07-6907,62197-301-001,22-12-0122,3942130,KAV0725027
191433206,23-51,B737-8,FL DK,5145-1-82,11937,5145-1-82,17401,4075848,PAV13125
190310973,33-00,M73-82,CABIN,9651-35-0005,66344,9651-35-0005,18697,3795867,140037
190098579,23-51,B737-8,FL DK,5145-1-82,12411,5145-1-88,25824,3958563,PAV11520
190728733,33-21,B737-8,21ABC,9651-35-0002,39154,9651-35-0002,71927,3933792,7365-1.000
190629230,34-11,B737-8,LH,0851HT1,341141,0851HT2,472229,3898990,408056660
980007654,33-00,B737-8,RH,45-0351-4,7158,45-0351-4,5676,4120003,PAV13740
190064117,25-00,B737-8,AFTGALLY,8201-11-0000-01,19-06-0287,8201-11-0000,07-09-24242,3960344,KAV0925012-UKCAA
191484755,26-16,B737-8,AFT,473597-5,49353,473597-5,68257,3968482,00012898876
190578991,25-31,B737-8,AFTGALLY,62197-301-001,15-08-7818,62197-301-001,21-02-0113,4145934,KAV0526072
41843840,27-00,M73-82,LH STAB,0851HT1,399689,0851HT2,474388,3964176,408363369
190775423,05-00,B737-8,#1,340-001-038-0,PC194398,340-001-038-0,DM126059,3914923,8000
55352924,34-00,M73-82,F/O,0851HT1,441107,0851HT2,455727,3596454,406660800
105317951,38-32,B737-8,LAV E,14330-230,37928,14330-230,21283,3995929,0501
42050268,33-20,B737-8,24DEF,9651-35-0003,9834,9651-35-0003,20206,3706406,20073452
55479486,25-00,M73-82,GALLEY 1 FWD,62197-301-001,23-05-0004,62197-301-001,14-07-6904,3770978,KAV1124045
190540002,33-21,B737-8,#10 LH,9651-35-0003,9077,9651-35-0003,8876,3907475,150115
107380880,36-00,B737-8,#2,107484-7,8409,107484-7,20613R,4219455,355329148
190311867,38-11,M73-82,FWD,SC4L500301-5,173163656-003,SC4L500301-5,173389311-002,3893221,E-5833785
191530431,33-21,B737-8,#6 LH,9651-35-0002,53965,9651-35-0002,35253,4189980,ARC175557
55527428,25-00,B737-8,GALLEY 4,72184025,N11060377044781,72184025,N10020393044643,3788956,1267816
42025310,25-33,B737-8,AFTGALLY,72184025,N11060389044793,72184025,4326,3661170,1132204
190200251,33-00,B737-8,RH,45-0351-4,1401,45-0351-6,8515,3885345,PAV10711
105758114,36-00,B737-8,#2,107484-7,18681,107484-7,11874,3990924,354693939
190166239,23-51,B737-8,FL DK,5145-1-82,11650,5145-1-88,26637,3798028,K00383
